itemLabel,altLabel_list
tetrahydrozoline,"(RS)-2-(1,2,3,4-tetrahydronaphthalen-1-yl)-4,5-dihydro-1H-imidazole|2-(1,2,3,4-Tetrahydro-1-naphthyl)-2-imidazoline|4,5-dihydro-2-(1,2,3,4-tetrahydro-1-naphthalenyl)-1H-imidazole|Tetrahydrozoline|Tetrizolina|Tetryzolin|Tetryzoline|Tétryzoline|Tetryzolinum"
disopyramide,alpha-(2-(Diisopropylamino)ethyl)-alpha-phenyl-2-pyridineacetamide|Disopiramida|Disopyramidum|gamma-Diisopropylamino-alpha-phenyl-alpha-(2-pyridyl)butyramide|Norpace®|Rythmodan®|SC-13957|SC-7031
carglumic acid,OE-312|Ureidoglutaric acid|(2S)-2-(carbamoylamino)pentanedioic acid|(2S)-2-(Carbamoylamino)pentanedioic acid|(S)-2-ureidopentanedioic acid|Acide carglumique|Acido carglumico|Acidum carglumicum|Carbaglu®|Carbamino-L-glutamic acid|Carbamylglutamic acid|Carglumic Acid|L-N-Carbamoylglutamic acid|N-Carbamoyl-L-Glutamic Acid|N-Carbamyl-L-glutamate|N-carbamylglutamate|N-Carbamylglutamate
trimethadione,Tridione®|Trimethadion|Trimethadione|Triméthadione|Trimethadionum|Trimethinum|Troxidone
drotaverine,Drotaverin|Drotaverine|Drotin
bupropion,amfebutamone|Amfebutamone|Bupropion|BW-323|Wellbutrin®|Zyban®
bopindolol,Sandonorm|Bopindolol
spirapril,Renormax®|SCH-33844
magnesium trisilicate,Magnesium Trisilicate|magnesium trisilicate anhydrous|Trimax
succinylcholine,"Succinylcholine|2,2'-[(1,4-DIOXOBUTANE-1,4-diyl)bis(oxy)]bis(N,N,N-trimethylethanaminium)|Dicholine succinate|Quelicin®|Succinic acid, diester with choline|Succinocholine|Succinoylcholine|Succinylbischoline|Succinyldicholine|suxamethonium|Suxamethonium"
benperidol,Anquil®|Benperidol|MCN-JR-4584|R-4584
methysergide,1-methylmethylergonovine|Deseril®|Sansert®|UML-491
lisuride,"(+)-lisuride|Dopergin®|Lisurid|Lisurida|Lisuride|Lisuridum|lysuride|N'-((8alpha)-9,10-didehydro-6-methylergolin-8-yl)-N,N-diethylurea|N'-((8alpha)-9,10-Didehydro-6-methylergolin-8-yl)-N,N-diethylurea"
nicorandil,N-(2-hydroxyethyl)nicotinamide nitrate|N-(2-Hydroxyethyl)nicotinamide nitrate|N-(2-Hydroxyethyl)nicotinamide nitrate (ester)|Nicorandil|Nicorandilum|SG 75|SG-75|2-nicotinamidoethyl nitrate|2-Nicotinamidoethyl nitrate|BRN 0481451|Ikorel®
cyclizine,Cyclizine|(+-)-1-diphenylmethyl-4-methylpiperazine|(+-)-1-Diphenylmethyl-4-methylpiperazine|(±)-1-diphenylmethyl-4-methylpiperazine|(N-Benzhydryl)(n'-methyl)diethylenediamine|(N-Benzhydryl)(N'-methyl)diethylenediamine|1-(Diphenylmethyl)-4-methylpiperazine|1-Benzhydryl-4-methylpiperazin|Ciclizina|Cyclizinum|Marezine®|N-Benzhydryl-N'-methylpiperazine|N-methyl-N'-benzhydrylpiperazine
cyclopentolate,(+-)-cyclopentolate|(+-)-Cyclopentolate|(±)-cyclopentolate|1-hydroxy-alpha-phenylcyclopentaneacetic acid 2-(dimethylamino)ethyl ester|1-Hydroxy-alpha-phenylcyclopentaneacetic acid 2-(dimethylamino)ethyl ester|2-(dimethylamino)ethyl 1-hydroxy-alpha-phenylcyclopentaneacetate|2-(dimethylamino)Ethyl 1-hydroxy-alpha-phenylcyclopentaneacetate|2-(dimethylamino)ethyl 2-(1-hydroxycyclopentyl)-2-phenylacetate|2-(dimethylamino)Ethyl 2-(1-hydroxycyclopentyl)-2-phenylacetate|2-phenyl-2-(1-hydroxycyclopentyl)ethanoic acid beta-(dimethylamino)ethyl ester|2-Phenyl-2-(1-hydroxycyclopentyl)ethanoic acid beta-(dimethylamino)ethyl ester|alpha-(1-hydroxycyclopentyl)benzeneacetic acid 2-(dimethylamino)ethyl ester|alpha-(1-Hydroxycyclopentyl)benzeneacetic acid 2-(dimethylamino)ethyl ester|beta-(dimethylamino)ethyl (1-hydroxycyclopentyl)phenylacetate|beta-(dimethylamino)Ethyl (1-hydroxycyclopentyl)phenylacetate|beta-dimethylaminoethyl (1-hydroxycyclopentyl)phenylacetate|beta-Dimethylaminoethyl (1-hydroxycyclopentyl)phenylacetate|Ciclopentolato|Cyclogyl®|Cyclopentolate|Cyclopentolatum|Mydrilate®|α-(1-hydroxycyclopentyl)benzeneacetic acid 2-(dimethylamino)ethyl ester|β-dimethylaminoethyl (1-hydroxycyclopentyl)phenylacetate
cilazapril,Cilazapril|cilazapril anhydrous|Cilazapril anhydrous|Cilazaprilum|Inhibace®|Ro 31-2848006|Vascace®
perampanel,"3-(2-Cyanophenyl)-5-(2-pyridyl)-1-phenyl-1,2-dihydropyridin-2-one|E 2007|E2007|ER-155055-90|Fycompa®|Perampanel|pérampanel|Perampanelum"
bosutinib,"3-quinolinecarbonitrile, 4-((2,4-dichloro-5-methoxyphenyl)amino)-6-methyl-1-piperazinyl)propoxy)-|4-((2,4-dichloro-5-methoxyphenyl)amino)-6-methoxy-7-(3-(4-methyl-1-piperazinyl)propoxy)-3-quinolinecarbonitrile|4-((2,4-Dichloro-5-methoxyphenyl)amino)-6-methoxy-7-(3-(4-methyl-1-piperazinyl)propoxy)-3-quinolinecarbonitrile|4-((2,4-dichloro-5-methoxyphenyl)amino)-6-methoxy-7-(3-(4-methylpiperazin-1-yl)propoxy)quinoline-3-carbonitrile|Bosulif®|Bosutinib|Bosutinib Monohydrate|bosutinibum|SK 606|SK-606|SKI 606|SKI-606"
methimazole,"1-METHYL-1,3-dihydro-2H-imidazole-2-thione|1-Methylimidazole-2(3H)-thione|Danantizol|Favistan|Mercazolyl|Methimazole|Strumazol|Tapazole®|Thacapzol|Thiamazol|Thiamazole|Thiamazole®|Thiamazolum|Tiamazol|USAF el-30"
fenofibrate,2-(4-(4-Chlorobenzoyl)phenoxy)-2-methylpropanoic acid 1-methylethyl ester|ABT-335|Fenofibrate|Fenofibrato|Fenofibratum|Finofibrate|FNF|Isopropyl (4'-(p-chlorobenzoyl)-2-phenoxy-2-methyl)propionate|Isopropyl 2-(4-(4-chlorobenzoyl)phenoxy)-2-methylpropionate|Lipantil (TN)|Lipantil®|Procetofen|Supralip®|Tricor (TN)|Tricor®
triclabendazole,Triclabendazole|EGA230
hexetidine,Esetidina|Hexetidine|Hexétidine|Sterisil
melarsoprol,Melarsoprol
bosentan,"4-(1,1-Dimethylethyl)-N-(6-(2-hydroxyethoxy)-5-(2-methoxyphenoxy)-(2,2'-bipyrimidin)-4-yl) benzenesulfornamide|Bosentan|bosentán|bosentan anhydrous|bosentanum|p-tert-Butyl-N-(6-(2-hydroxyethoxy)-5-(o-methoxyphenoxy)-2-(2-pyrimidinyl)-4-pyrimidinyl)benzenesulfonamide|RO 47-0203|Tracleer®"
Sapropterin,"BH4|Sapropterin|(1R,2S)-(2-Amino-3,4,5,6,7,8-hexahydro-4-oxo-6-pteridinyl)-1,2-propandiol|(6R)-2-Amino-6-[(1R,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydropteridin-4(1H)-one|(6R)-2-azanyl-6-[(1R,2S)-1,2-bis(oxidanyl)propyl]-5,6,7,8-tetrahydro-1H-pteridin-4-one|2-amino-6-(1,2-dihydroxypropyl)-3,4,5,6,7,8-hexahydropteridin-4-one|2-Amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydoro-4(1H)-5,6,7,8-Tetrahydro-2-amino-6-(1,2-dihydroxypropyl)-4(1H)-pteridinone|2-Amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydoro-4(1H)-pteridinone|5,6,7,8 Tetrahydrobiopterin|5,6,7,8-Erythro-tetrahydrobiopterin|5,6,7,8-Tetra-H-biopterin|5,6,7,8-Tetrahydro-2-amino-6-(1,2-dihydroxypropyl)-4(1H)-pteridinone|5,6,7,8-Tetrahydrobiopterin|6R-5,6,7,8-tetrahydrobiopterin|6R-BH4|6R-L-5,6,7,8-tetrahydrobiopterin|L-Erythro-2-Amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydro-4(3H)-pteridinon|L-erythro-tetrahydrobiopterin|R-THBP|sapropterin|Tetra-H-biopterin|Tetra-hydro-biopterin|Tetrahydrobiopterin"
dopamine,"2-(3,4-dihydroxyphenyl)ethylamine|3-hydroxytyramine|3-Hydroxytyramine|3,4-Dihydroxyphenethylamine|3,4-Dihydroxyphenylethylamine|4-(2-aminoethyl)-1,2-benzenediol|4-(2-Aminoethyl)-1,2-benzenediol|4-(2-Aminoethyl)-Pyrocatechol|4-(2-Aminoethyl)benzene-1,2-diol|4-(2-aminoethyl)catechol|4-(2-aminoethyl)pyrocatechol|4-(2-azanylethyl)benzene-1,2-diol|a-(3,4-Dihydroxyphenyl)-b-aminoethane|alpha-(3,4-Dihydroxyphenyl)-beta-aminoethane|Dopaminum|Dopastat|Dophamine|Dynatra|Hydroxytyramin|Hydroxytyramine|Intropin|Oxytyramine|Revivan|Dopamine|Deoxyepinephrine|Dopamina|Dopamin"
L-phenylalanine,F|Phe|Phenylalanine|(S)-2-Amino-3-phenylpropionic acid|(S)-alpha-Amino-beta-phenylpropionic acid|3-phenyl-L-alanine|beta-Phenyl-L-alanine|L-Phe|β-phenyl-L-alanine
vidarabine,"Vidarabine|9-beta-D-Arabinofuranosyladenine|2-(6-AMINO-purin-9-yl)-5-hydroxymethyl-tetrahydro-furan-3,4-diol|9-beta-D-Arabinofuranosyl-9H-purin-6-amine|9-beta-D-arabinofuranosyl-adenine|9-β-D-arabinofuranosyl-9H-purin-6-amine|9-β-D-arabinofuranosyladenine|CI-673|Spongoadenosine|Vira-A®"
pipamperone,"1'-(3-(p-fluorobenzoyl)propyl)-(1,4'-bipiperidine)-4'-carboxamide|Carpiperone|dipiperone|floropipamide|Floropipamide|Fluoropipamide|p-fluoro-gamma-(4-piperidino-4-carbamoylpiperidino)butyrophenone|Pipamperone|R 3345|R-3345"
fexofenadine,"4-(1-Hydroxy-4-(4-(hydroxydiphenylmethyl)-1-piperidinyl)butyl)-alpha,alpha-dimethylbenzeneacetic acid|Allegra®|Carboxyterfenadine|Fexofenadine|fexofenadine HCl|Terfenadine acid metabolite|Terfenadine carboxylate|Terfenadine-COOH"
rosuvastatin,"Rosuvastatin|(3R,5S,6E)-7-(4-(4-fluorophenyl)-6-(1-methylethyl)-2-(ethyl(methylsulfonyl)amino)-5-pyrimidinyl)-3,5-dihydroxy-6-heptenoic acid|(3R,5S,6E)-7-{4-(4-fluorophenyl)-6-isopropyl-2-[methyl(methylsulfonyl)amino]pyrimidin-5-yl}-3,5-dihydroxyhept-6-enoic acid|Crestor®|ZD4522"
cefaclor,CCL|3-Chloro-7-D-(2-phenylglycinamido)-3-cephem-4-carboxylic acid|Alfatil|Ceclor|Cefaclor|cefaclor anhydrous|Cefaclor anhydrous|Cefacloro|Cefaclorum|Cefeaclor|Céfeaclor|Cephaclor|Panacef
L-Valine,(S)-Valine|2-Amino-3-methylbutyric acid|L-(+)-alpha-Aminoisovaleric acid|L-alpha-Amino-beta-methylbutyric acid|L-Val|Valine|Val|(2S)-2-Amino-3-methylbutanoic acid
L-Isoleucine,"I|Ile|(2S,3S)-2-Amino-3-methylpentanoic acid|2-Amino-3-methylvaleric acid|alpha-amino-beta-methylvaleric acid|Isoleucine|L-Ile|α-amino-β-methylvaleric acid"
L-Histidine,H|HIS|His|Histidine|(S)-4-(2-Amino-2-carboxyethyl)imidazole|(S)-a-Amino-1H-imidazole-4-propanoic acid|(S)-alpha-amino-1H-Imidazole-4-propanoic acid|(S)-alpha-Amino-1H-imidazole-4-propionic acid|(S)-α-amino-1H-Imidazole-4-propanoic acid|Histidina|L-(-)-Histidine|L-(−)-histidine|L-His|L-Histidin
cefpodoxime,Cefpodoxima|Cefpodoxime|Cefpodoxime Proxetil|Cefpodoximum
sulfamerazine,(P-Aminobenzolsulfonyl)-2-amino-4-methylpyrimidin|2-(4-Aminobenzenesulfonamido)-4-methylpyrimidine|2-(P-Aminobenzolsulfonamido)-4-methylpyrimidine|2-(Sulfanilamido)-4-methylpyrimidine|2-Sulfa-4-methylpyrimidine|4-Amino-N-(4-methyl-2-pyrimidinyl)-benzenesulfonamide|Mesulfa|Methypyrimal|N-(4-Methyl-2-pyrimidyl)sulfanilamide|N(1)-(4-Methyl-2-pyrimidinyl)sulfanilamide|Sulfamerazina|Sulfamerazine|Sulfamerazinum|Sulfamethyldiazine|Sulphamerazine|Sumedin
tripelennamine,Pyribenzamine®|Tripelennamin|Tripelennamina|Tripelennamine|Tripélennamine|Tripelennaminum|PBZ063
pemetrexed,Alimta®|LY-231514|Pemetrexed
tolnaftate,"2-Naphthyl N-methyl-N-(3-tolyl)thionocarbamate|Aftate|Dr. Scholl's Athlete's Foot Spray|m,N-Dimethylthiocarbanilic acid O-2-naphthyl ester|Methyl (3-methylphenyl)carbamothioic acid O-2-naphthalenyl ester|N-Methyl-N-(3-methylphenyl)-1-(naphthalen-2-yloxy)methanethioamide|O-2-Naphthyl m,N-dimethylthiocarbanilate|SCH-10144|Separin|Tinactin|Tolnaftate|Tolnaftato|Tolnaftatum|Tolnaphthate|Tritin"
altretamine,"HMM|2,4,6-tris(dimethylamino)-1,3,5-triazine|2,4,6-tris(dimethylamino)-s-triazine|Altretamin|Altretamina|Altretamine|Altrétamine|Altretaminum|Hexalen®|Hexamethylmelamine"
oxcarbazepine,"GP-47680|KIN-493|OCBZ|TRI476|10,11-dihydro-10-oxo-5H-dibenz(b,f)azepine-5-carboxamide"
alfentanil,Alfenta®|Alfentanil|Alfentanilum|Alfentanyl|N-(1-(2-(4-Ethyl-5-oxo-2-tetrazolin-1-yl)ethyl)-4-(methoxymethyl)-4-piperidyl)propionanilide|R-39209|Rapifen®
imatinib,CGP 57148|STI 571|STI571|QTI571|alpha-(4-methyl-1-piperazinyl)-3'-{[4-(3-pyridyl)-2-pyrimidinyl]amino}-P-toluidide|4-(4-methyl-piperazin-1-ylmethyl)-N-[4-methyl-3-(4-pyridin-3-yl-pyrimidin-2-ylamino)-phenyl]-benzamide
L-aspartic Acid,D|Aspartic acid|ASP|Asp|(2S)-2-aminobutanedioic acid|(2S)-2-aminosuccinic acid|(+)-Aspartate|(+)-Aspartic acid|(2S)-Aspartate|(2S)-Aspartic acid|(L)-Aspartate|(L)-Aspartic acid|(R)-2-aminosuccinate|(S)-(+)-Aspartate|(S)-(+)-Aspartic acid|(S)-2-aminobutanedioic acid|(S)-2-aminosuccinate|(S)-2-aminosuccinic acid|(S)-amino-Butanedioate|(S)-amino-Butanedioic acid|(S)-Aminobutanedioate|(S)-Aminobutanedioic acid|(S)-Aspartate|(S)-Aspartic acid|2-Amino-3-methylsuccinate|2-Amino-3-methylsuccinic acid|2-Aminosuccinate|2-Aminosuccinic acid|alpha-Aminosuccinate|alpha-Aminosuccinic acid|Aminosuccinate|Asparagate|Asparagic acid|Asparaginate|Asparaginic acid|Asparatate|Aspartate|H-Asp-OH|L-(+)-Aspartate|L-(+)-Aspartic acid|L-Aminosuccinate|L-Aminosuccinic acid|L-Asp|L-Asparagate|L-Asparagic acid|L-Asparaginate|L-Asparaginic acid|L-Asparaginsaeure|L-Asparaginsäure|L-aspartate|L-Aspartate|L-Aspartic acid|L-Aspartic Acid
Rubitecan,9-nitrocamptothecin|9NC|Camptogen|RF-2000
azlocillin,"(2S,5R,6R)-3,3-Dimethyl-7-oxo-6-{[(2R)-2-{[(2-oxoimidazolidin-1-yl)carbonyl]amino}-2-phenylacetyl]amino}-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid|2,2-dimethyl-6beta-[(2R)-2-{[(2-oxoimidazolidin-1-yl)carbonyl]amino}-2-phenylacetamido]penam-3alpha-carboxylic acid|Azlocilina|Azlocillin|Azlocilline|Azlocillinum"
triflupromazine,triflupromazine hydrochloride|10-(3-(Dimethylamino)propyl)-2-(trifluoromethyl)phenothiazine|2-(Trifluoromethyl)promazine|2-Trifluoromethyl-10-(gamma-dimethylaminopropyl)phenothiazine|Fluopromazine|trifluopromazine|Triflupromazin|Triflupromazina|Triflupromazine|Triflupromazinum|Vesprin®
encainide,(+-)-2'-[2-(1-Methyl-2-piperidyl)ethyl]-P-anisanilide|(+-)-4-Methoxy-N-(2-(2-(1-methyl-2-piperidinyl)ethyl)phenyl)benzamide|(±)-2'-[2-(1-methyl-2-piperidyl)ethyl]-p-anisanilide|(±)-4-methoxy-N-(2-(2-(1-methyl-2-piperidinyl)ethyl)phenyl)benzamide|4-methoxy-2'-[2-(1-methyl-2-piperidyl)ethyl]benzanilide|4-Methoxy-2'-[2-(1-methyl-2-piperidyl)ethyl]benzanilide|4-Methoxy-N-{2-[2-(1-methyl-piperidin-2-yl)-ethyl]-phenyl}-benzamide|Encainida|Encainide|Encainidum
fenspiride,Eurespal|Fenspiride
oxybenzone,(2-Hydroxy-4-methoxyphenyl)phenylmethanone|2-Benzoyl-5-methoxyphenol|2-Hydroxy-4-methoxybenzophenone|4-Methoxy-2-hydroxybenzophenone|4-Methoxy-2-hydroxybenzophenone butyric acid|Benzophenone-3|Oxibenzona|Oxybenzone|Oxybenzonum|Uvinul M40
tafamidis,"2-(3,5-dichlorophenyl)benzoxazole-6-carboxylic acid|FX-1006|Tafamidis|tafamidisum"
aclidinium,Aclidinium|LAS W-330|LAS-34273|Tudorza Pressair®
dexrazoxane,"ADR-529|ICRF-187|DRX187|(+)-(S)-4,4′-propylenedi-2,6-piperazinedione|(+)-1,2-bis(3,5-dioxo-1-piperazinyl)propane|dextrorazoxane"
allylestrenol,17α-allylestr-4-en-17β-ol|3-deketo-17α-allyl-19-nortestosterone|Allyl estrenol|Allylestrenol|Allyloestrenol|Perselin
bezitramide,"1-[1-(3-Cyano-3,3-diphenylpropyl)-4-piperidinyl]-1,3-dihydro-3-(1-oxopropyl)-2H-benzimidazol-2-one|Bezitramide|R-4845"
cabozantinib,BMS 907351|BMS907351|XL 184|XL-184|XL184|BMS-907351|Cabometyx®|Cabozantinib|Cometriq®
diloxanide furoate,Diloxanide furoate
ceftazidime,"CAZ|(6R,7R)-7-{[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-{[(2-carboxypropan-2-yl)oxy]imino}acetyl]amino}-8-oxo-3-(pyridinium-1-ylmethyl)-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate|Ceftazidim|Ceftazidima|Ceftazidime anhydrous|Ceftazidimum|Ceptaz|Fortam|Fortaz|Fortum|GR-20263|Kefazim|LY-139381|Pentacef|Tazicef|Tazidime"
benserazide,"benserazida|Benserazide|benserazidum|DL-serine 2-(2,3,4-trihydroxybenzyl)hydrazide|DL-serine 2-[(2,3,4-trihydroxyphenyl)methyl]hydrazide|Madopar®|Ro 4-4602|Ro 44602|serazide"
metyrapone,Metyrapone|mepyrapone|Metirapona|Metopiron|Metopirone®|Metyraponum|MEO885
pinacidil,pinacidil anhydrous|Pindac®
Atracurium besylate,"ATRACURIUM|1-[(3,4-Dimethoxyphenyl)methyl]-2-[3-({5-[(3-{1-[(3,4-dimethoxyphenyl)methyl]-6,7-dimethoxy-2-methyl-1,2,3,4-tetrahydroisoquinolin-2-ium-2-yl}propanoyl)oxy]pentyl}oxy)-3-oxopropyl]-6,7-dimethoxy-2-methyl-1,2,3,4-tetrahydroisoquinolin-2-ium|Atracurium besilate|Atracurium Besilate|Atracurium Besylate|Atracurium dibesylate|BW-33A|Tracrium"
darifenacin,"UK-88525|DAR328|(S)-1-[2-(2,3-dihydro-5-benzofuranyl)ethyl]-alpha,alpha-diphenyl-3-pyrrolidineacetamide"
ibandronic acid,Bondronat®|Boniva®|ibandronate|Ibandronate|Ibandronic Acid
metronidazole,Noritate|Vandazole|Flagyl|1-(2-hydroxy-1-ethyl)-2-methyl-5-nitroimidazole|1-(2-hydroxyethyl)-2-methyl-5-nitroimidazole|1-(beta-Ethylol)-2-methyl-5-nitro-3-azapyrrole|1-(beta-Hydroxyethyl)-2-methyl-5-nitroimidazole|1-(beta-Oxyethyl)-2-methyl-5-nitroimidazole|1-(β-ethylol)-2-methyl-5-nitro-3-azapyrrole|1-(β-hydroxyethyl)-2-methyl-5-nitroimidazole|1-(β-oxyethyl)-2-methyl-5-nitroimidazole|2-methyl-1-(2-hydroxyethyl)-5-nitroimidazole|2-methyl-3-(2-hydroxyethyl)-4-nitroimidazole|2-methyl-5-nitroimidazole-1-ethanol|BAY-5360|BAYER-5360|Flagyl 375|Flagyl Er|Flagyl I.V. Rtu In Plastic Container|Metric 21|Metro iv|Metro Iv|Metrocream|Metrogel|Metrogel-Vaginal|Metrolotion|Metrolyl|Metromidol|Metronidazol|Metronidazole|Metronidazolum|Protostat|RP-8823|Satric
unoprostone,"(+)-(Z)-7-((1R,2R,3R,5S)-3,5-dihydroxy-2-(3-oxodecyl)cyclopentyl)-5-heptenoic acid|(5Z)-7-[(1R,2R,3R,5S)-3,5-dihydroxy-2-(3-oxodecyl)cyclopentyl]hept-5-enoic acid|13,14-dihydro-15-keto-20-ethyl PGF2alpha|13,14-dihydro-15-keto-20-ethyl PGF2α|Unoprostone|RSC021"
Quinagolide,"(+-)-N,N-Diethyl-N'-((3R*,4aR*,10aS*)-1,2,3,4,4a,5,10,10a-octahydro-6-hydroxy-1-propylbenzo(g)quinolin-3-yl)sulfamide|CV205-502|Quinagolida|Quinagolidum|SDZ 205-502"
bazedoxifene,Bazedoxifene|bazedoxifene/conjugated estrogens|Conbriza®|TSE-424|Viviant®|WAY-140424
Belatacept,CTLA4-Ig|BMS-224818|BMS224818|CD152 antigen|LEA 29Y|LEA29Y|Nujolix|LEA029
Belinostat,PXD-101
belotecan,Belotecan
benmoxin,Benmoxin|benmoxine|Mebamoxine
benzoctamine,"Benzoctamine|N-Methyl-9,10-ethanoanthracene-9(10H)-methanamine"
benzquinamide,"BZQ|2-(acetoxy)-N,N-diethyl-1,3,4,6,7,11b-hexahydro-9,10-dimethoxy-2H-benzo[a]quinolizine-3-carboxamide|2-(acetyloxy)-N,N-diethyl-1,3,4,6,7,11b-hexahydro-9,10-dimethoxy-2H-benzo[a]quinolizine-3-carboxamide|benzochinamide|Benzquinamide|Emete-Con|P-2647|Quantril®"
Benzylpenicilloyl Polylysine,Benzyl penicilloyl-polylysine|benzylpenicilloyl G polylysine|Benzylpenicilloyl G polylysine|Benzylpenicilloyl-polylysine|Penicilloyl polylysine|Penicilloyl-polylysine|Pre-Pen
bepotastine,(+)-4-(((S)-p-Chloro-alpha-2-pyridylbenzyl)oxy)-1-piperidinebutyric acid|4-((4-Chlorophenyl)-2-pyridinylmethoxy)-1-piperidinebutanoic acid|Bepotastine|betotastine|Talion®|TAU-284|4-[4-[(4-Chlorophenyl)pyridin-2-ylmethoxy]piperidin-1-yl]butanoic acid
bepridil,Bepadin|Bepridil|CERM-1978|Vascor®
cefpiramide,Cefpiramide|Cefpiramido|Cefpiramidum|WY-44635
sulfadimethoxine,"2,4-dimethoxy-6-sulfanilamido-1,3-diazine|2,6-Dimethoxy-4-(P-aminobenzenesulfonamido)pyrimidine|2,6-Dimethoxy-4-sulfanilamidopyrimidine|4-amino-N-(2,6-Dimethoxy-4-pyrimidinyl)benzenesulfonamide|6-Sulfanilamido-2,4-dimethoxypyrimidine|Abcid (tn)|Agribon (tn)|Madribon|N(1)-(2,6-Dimethoxy-4-pyrimidinyl)sulfanilamide|Sulfadimethoxine|Sulfadimethoxinum|Sulfadimethoxydiazine|Sulfadimetoxina|Sulphadimethoxine"
Clomocycline,Chlormethylenecycline|Clomociclina|Clomocyclina|Clomocyclinum
bromodiphenhydramine,"2-(p-bromo-alpha-phenylbenzyloxy)-N,N-dimethylethylamine|2-(P-Bromo-alpha-phenylbenzyloxy)-N,N-dimethylethylamine|Ambodryl®|beta-(p-bromobenzhydryloxy)ethyldimethylamine|beta-(P-Bromobenzhydryloxy)ethyldimethylamine|beta-dimethylaminoethyl p-bromobenzhydryl ether|beta-Dimethylaminoethyl P-bromobenzhydryl ether|Bromazina|Bromazine|Bromazinum|Bromodiphenhydramine"
blonanserin,AD 5423|AD-5423|Blonanserin|Lonasen®
brodalumab,Siliq
Calcium Gluceptate,"2)|Calcii Glucoheptonas|Calcii glugoheptonas|Calcium (2XI)-D-gluco-heptonate|Calcium bis[(2XI)-D-glycero-D-gulo-heptonate]|Calcium bis[(2XI)-D-glycero-D-ido-heptonate]|Calcium bis[(3R,4S,5R,6R)-2,3,4,5,6,7-hexahydroxyheptanoate]|Calcium glucoheptonat|Calcium glucoheptonate|Calcium glucoheptonate (1|Calcium glucoheptonate (1:2)|Glucoheptonate de calcium|Glucoheptonato calcico|Trimethylene chlorobromide"
camostat,FOY 305|FOY-305|ONO-3403
benazeprilat,"CGS-14831|(3S)-3-(((1S)-1-carboxy-3-phenylpropyl)amino)-2,3,4,5-tetrahydro-2-oxo-1H-1-benzazepine-1-acetic acid|(3S)-3-(((1S)-1-Carboxy-3-phenylpropyl)amino)-2,3,4,5-tetrahydro-2-oxo-1H-1-benzazepine-1-acetic acid|benazepril diacid|Benazepril diacid|Benazeprilat|Bénazéprilate|Benazeprilatum|CGS 14831"
infigratinib,BGJ398|Infigratinib|NVP-BGJ398
capmatinib,Capmatinib|INC280|INCB28060
chidamide,CS-055|CS055|HBI-8000|tucidinostat (proposed INN)
cilazaprilat,"(1S,9S)-9-((S)-1-Carboxy-3-phenylpropylamino)-10-oxo-4,6,7,8,9,10-hexahydro-1H-pyridazino[1,2-a][1,2]diazepine-1-carboxylic acid|Ro 31-3113"
colfosceril palmitate,"PC(16:0/16:0)|DPPC|(4S,7R)-7-[(hexadecanoyloxy)methyl]-4-hydroxy-N,N,N-trimethyl-9-oxo-3,5,8-trioxa-4-phosphahexacosan-1-aminium 4-oxide|1,2-di-O-hexadecanoyl-sn-glycero-3-phosphocholine|1,2-Dipalmitoyl-3-sn-phosphatidylcholine|1,2-Dipalmitoyl-L-lecithin|1,2-dipalmitoyl-sn-glycero-3-phosphocholine|Dipalmitoyl phosphatidylcholine|Exosurf Neonatal®"
deutetrabenazine,Austedo|Deutetrabenazine|SD-809|SD809|tetrabenazine D6
(E)-doxepin,Deptran®|P-3693A|Sinequan®
echothiophate,ecostigmine iodide|phospholine iodide
Enasidenib,"2-Methyl-1-(4-(6-(trifluoromethyl)pyridin-2-yl)-6-(2-(trifluoromethyl)pyridin-4-ylamino)-1,3,5-triazin-2-ylamino)propan-2-ol|AG-221|CC-90007|enasidenib"
epacadostat,Epacadostat|IDO inhibitor 1|INCB 24360|INCB-24360|INCB024360
erdafitinib,compound 4 [WO2011135376]|Erdafitinib|JNJ-42756493
ertugliflozin,Ertugliflozin|MK-8835|PF-04971729
eslicarbazepine,Aptiom®|BIA 2-194|S-licarbazepine|Zebinix®|SDA137
fondaparinux,Arixtra®|Natural heparin pentasaccharide
fosinoprilat,"(2S,4S)-4-cyclohexyl-1-{2-[hydroxy-(4-phenyl-butyl)-phosphinoyl]-acetyl}-pyrrolidine-2-carboxylic acid|(2S,4S)-4-cyclohexyl-1-{2-[hydroxy(4-phenylbutyl)phosphoryl]acetyl}pyrrolidine-2-carboxylic acid|(4S)-4-cyclohexyl-1-((hydroxy(4-phenylbutyl)phosphinyl)acetyl)-L-proline|fosinopril diacid|fosinoprilic acid|SQ-27519"
triethylgallamine,Flaxedil®
gilteritinib,ASP-2215|ASP2215|Gilteritinib
glasdegib,Glasdegib|PF 04449913|PF-04449913
gosogliptin,"2-(4-{(3S,5S)-5-[(3,3-difluoropyrrolidin-1-yl)carbonyl]pyrrolidin-3-yl}piperazin-1-yl)pyrimidine|Gosogliptin|PF-00734200"
